iter	RMSE
0	0.486141698
1	0.4850582627
2	0.483509098
3	0.4821607927
4	0.4802845153
5	0.4795507668
6	0.4785996467
7	0.4774044016
8	0.4761458814
9	0.4751644172
10	0.4738065692
11	0.4731112374
12	0.4725027885
13	0.4713324689
14	0.4703267269
15	0.4697226719
16	0.4687951559
17	0.4683181122
18	0.4670935096
19	0.4660699149
20	0.4649026134
21	0.4638609522
22	0.4631493585
23	0.462084061
24	0.4611094547
25	0.4604997986
26	0.4599342791
27	0.459121512
28	0.458315959
29	0.4575434222
30	0.4570504869
31	0.4562643177
32	0.455705507
33	0.4548420112
34	0.4540843107
35	0.4534339279
36	0.4525934765
37	0.4515842406
38	0.4508176596
39	0.4499907503
40	0.4493865902
41	0.4489214784
42	0.4484727141
43	0.4479975673
44	0.4474285865
45	0.446585744
46	0.4459821814
47	0.4449775061
48	0.4445355095
49	0.4436944013
50	0.4434348943
51	0.4431427816
52	0.4424916423
53	0.4420777517
54	0.4413198038
55	0.440885487
56	0.4402043364
57	0.4398222513
58	0.4393293037
59	0.4386823445
60	0.4381691081
61	0.4376039122
62	0.4370478864
63	0.4365209112
64	0.4359567497
65	0.4353139721
66	0.4346602279
67	0.4343356565
68	0.4336286558
69	0.4330835278
70	0.4326936219
71	0.4323710071
72	0.431707266
73	0.4313241033
74	0.4309915174
75	0.4303034256
76	0.4300158498
77	0.4297510548
78	0.4294297177
79	0.4288148795
80	0.4285200326
81	0.4281228637
82	0.4274930343
83	0.4269849998
84	0.4265472532
85	0.4260045935
86	0.4253512459
87	0.4248932597
88	0.4242046634
89	0.4235475358
90	0.423220065
91	0.422857229
92	0.422135957
93	0.4216931114
94	0.4211093529
95	0.4206308615
96	0.4201384097
97	0.4198081407
98	0.4193876302
99	0.4189447474
100	0.4185484054
101	0.4177747706
102	0.4173439011
103	0.4169667313
104	0.4167317988
105	0.4163318601
106	0.4156865191
107	0.4153320514
108	0.4149451355
109	0.4145736429
110	0.414249575
111	0.4138219415
112	0.4135826935
113	0.4131496051
114	0.4127297067
115	0.4123037431
116	0.4119178936
117	0.4115323383
118	0.4110793425
119	0.410658726
120	0.4103399663
121	0.4100325711
122	0.4096843266
123	0.4093420245
124	0.4089964237
125	0.4086210737
126	0.4083334452
127	0.4080382339
128	0.4076388267
129	0.4072654694
130	0.4069070089
131	0.4066023476
132	0.406365585
133	0.405861682
