iter	Passed	Remaining
0	3	3874
1	7	3656
2	10	3531
3	14	3586
4	17	3549
5	21	3569
6	24	3465
7	28	3490
8	31	3414
9	33	3343
10	36	3301
11	39	3239
12	42	3203
13	45	3176
14	47	3142
15	51	3194
16	54	3164
17	57	3162
18	62	3204
19	68	3332
20	70	3307
21	77	3428
22	80	3421
23	83	3390
24	86	3360
25	89	3346
26	93	3381
27	97	3375
28	99	3345
29	102	3322
30	105	3298
31	109	3297
32	112	3292
33	115	3268
34	118	3258
35	121	3244
36	125	3267
37	128	3249
38	132	3261
39	135	3242
40	138	3241
41	141	3224
42	143	3204
43	146	3191
44	149	3173
45	153	3173
46	156	3168
47	158	3151
48	161	3139
49	164	3122
50	168	3126
51	171	3121
52	173	3107
53	176	3092
54	179	3077
55	183	3098
56	189	3129
57	191	3116
58	194	3101
59	197	3087
60	200	3080
61	202	3067
62	205	3054
63	207	3041
64	210	3029
65	213	3026
66	216	3015
67	219	3004
68	221	2992
69	224	2981
70	227	2971
71	229	2961
72	232	2951
73	235	2940
74	238	2945
75	241	2936
76	245	2947
77	248	2939
78	251	2932
79	254	2923
80	257	2917
81	261	2923
82	263	2916
83	266	2909
84	269	2900
85	272	2891
86	275	2890
87	278	2887
88	281	2882
89	284	2873
90	286	2865
91	289	2860
92	292	2855
93	295	2848
94	298	2840
95	301	2835
96	305	2847
97	308	2843
98	311	2835
99	314	2828
100	316	2820
101	319	2812
102	322	2807
103	324	2799
104	327	2792
105	330	2791
106	333	2783
107	336	2775
108	340	2780
109	343	2775
110	345	2769
111	348	2761
112	350	2754
113	353	2748
114	357	2755
115	361	2755
116	364	2749
117	366	2742
118	369	2737
119	372	2730
120	381	2768
121	389	2801
122	396	2825
123	398	2818
124	402	2818
125	405	2811
126	408	2805
127	410	2798
128	413	2791
129	416	2790
130	420	2786
131	423	2782
132	425	2775
133	428	2768
134	431	2766
135	434	2761
136	437	2755
137	440	2748
138	442	2741
139	445	2735
140	448	2731
141	451	2725
142	453	2718
143	456	2712
144	458	2705
145	461	2698
146	464	2695
147	467	2689
