iter	RMSE
0	0.485549776
1	0.4835363525
2	0.4817509035
3	0.480216523
4	0.4787742615
5	0.4774391283
6	0.476230385
7	0.4751819095
8	0.4736285139
9	0.4719766164
10	0.4711089774
11	0.4702967409
12	0.4691539105
13	0.4678783165
14	0.466988109
15	0.4661168482
16	0.4650686319
17	0.4642804571
18	0.4633792718
19	0.4625220828
20	0.461739929
21	0.4609465664
22	0.4600416212
23	0.4591376713
24	0.4581804666
25	0.4573706225
26	0.4567640864
27	0.4561233
28	0.4554654163
29	0.4546083171
30	0.4540669809
31	0.4536565076
32	0.4529679687
33	0.4524937454
34	0.4519289017
35	0.4513135414
36	0.4507118651
37	0.4499284858
38	0.4492684013
39	0.4486200297
40	0.4480019842
41	0.4473051118
42	0.4468639451
43	0.4463656654
44	0.445840185
45	0.4453643683
46	0.4447862957
47	0.4440470714
48	0.4435959504
49	0.4432299316
50	0.4427870932
51	0.4423901607
52	0.4419139939
53	0.4414134417
54	0.441044506
55	0.4403884236
56	0.4399600876
57	0.4395878737
58	0.4389623854
59	0.4386437803
60	0.4382334903
61	0.4379781107
62	0.437494534
63	0.436998769
64	0.436508499
65	0.4361493091
66	0.4356489835
67	0.4352682915
68	0.4348234335
69	0.4342897577
70	0.4339528705
71	0.4335229708
72	0.4331189447
73	0.4326825531
74	0.4321541908
75	0.4318938279
76	0.431469337
77	0.4311107032
78	0.430525703
79	0.4300291786
80	0.4297567527
81	0.4295200228
82	0.4293009693
83	0.4290590666
84	0.4289390773
85	0.4285795633
86	0.4282823768
87	0.427888058
88	0.4275351979
89	0.4273747581
90	0.4269875377
91	0.4265754821
92	0.4261758981
93	0.4258352141
94	0.4254697587
95	0.4252530727
96	0.4248537166
97	0.4244707041
98	0.4240978328
99	0.4238016775
100	0.423440853
101	0.4231572562
102	0.4228852314
103	0.4225989367
104	0.4221403463
105	0.4219378838
106	0.421649472
107	0.4214207289
108	0.4212073875
109	0.4209494705
110	0.4206717465
111	0.4203931365
112	0.4200979083
113	0.4198949883
114	0.4194525499
115	0.4191215537
116	0.4187882018
117	0.4185225128
118	0.418229039
119	0.4180482597
120	0.4178143042
121	0.4176095654
122	0.4172925997
123	0.4169396952
124	0.4166357705
125	0.4164003358
126	0.4161139949
127	0.4159447455
128	0.4156173756
129	0.4153738195
130	0.4150533464
131	0.4148262453
132	0.4145268501
133	0.4143168617
134	0.4140006037
135	0.4137938278
136	0.4135664402
137	0.413352889
138	0.4129972274
