iter	Passed	Remaining
0	2	2306
1	4	2223
2	6	2172
3	8	2118
4	10	2105
5	12	2096
6	14	2095
7	16	2092
8	18	2078
9	20	2075
10	23	2133
11	25	2118
12	27	2113
13	29	2105
14	32	2104
15	34	2102
16	36	2097
17	38	2100
18	40	2094
19	42	2088
20	44	2081
21	46	2078
22	48	2076
23	50	2070
24	54	2115
25	56	2113
26	58	2106
27	60	2102
28	62	2099
29	64	2095
30	66	2091
31	68	2084
32	70	2077
33	72	2070
34	74	2061
35	76	2055
36	78	2048
37	80	2044
38	82	2038
39	84	2034
40	86	2028
41	88	2022
42	90	2017
43	92	2013
44	94	2009
45	96	2006
46	98	2001
47	100	1996
48	102	1991
49	104	1987
50	106	1982
51	108	1979
52	111	1990
53	113	1994
54	115	1991
55	118	1989
56	120	1986
57	122	1982
58	124	1983
59	126	1980
60	128	1977
61	130	1976
62	132	1972
63	134	1971
64	136	1969
65	139	1968
66	141	1966
67	143	1964
68	145	1960
69	147	1957
70	149	1955
71	151	1953
72	153	1951
73	155	1947
74	157	1944
75	159	1940
76	161	1937
77	164	1946
78	166	1944
79	168	1942
80	170	1938
81	172	1936
82	175	1944
83	178	1945
84	180	1941
85	182	1938
86	184	1939
87	186	1936
88	188	1932
89	190	1928
90	192	1925
91	194	1922
92	196	1918
93	198	1915
94	200	1913
95	202	1910
96	204	1906
97	206	1904
98	208	1901
99	211	1899
100	213	1896
101	214	1892
102	216	1889
103	218	1886
104	221	1887
105	224	1891
106	226	1888
107	228	1885
108	230	1882
109	232	1879
110	234	1876
111	237	1879
112	239	1876
113	240	1873
114	242	1869
115	244	1866
116	246	1863
117	248	1861
118	251	1858
119	253	1855
120	254	1852
121	256	1849
122	258	1845
123	260	1842
124	262	1839
125	264	1836
126	266	1834
127	268	1831
128	270	1828
129	272	1826
130	274	1823
131	276	1819
132	278	1817
133	280	1815
134	283	1816
135	285	1813
136	287	1810
137	289	1807
138	291	1804
139	293	1801
140	295	1800
141	297	1798
142	299	1796
143	301	1793
144	303	1790
145	305	1787
146	307	1784
147	309	1782
148	311	1779
149	313	1776
150	315	1773
151	317	1771
152	319	1768
153	321	1766
154	323	1763
155	325	1760
156	327	1758
157	329	1755
158	331	1752
159	333	1750
160	335	1747
161	337	1745
162	340	1746
163	342	1744
164	344	1741
165	346	1739
166	348	1736
167	350	1734
168	354	1744
169	358	1749
170	360	1746
171	362	1744
172	364	1741
173	367	1744
174	373	1761
175	379	1776
176	385	1793
177	391	1809
178	397	1825
179	404	1842
180	411	1860
181	417	1877
182	424	1895
183	430	1908
184	436	1923
185	442	1938
186	449	1953
187	455	1968
188	462	1984
189	467	1993
190	471	1997
191	473	1994
192	475	1990
193	477	1985
194	479	1980
195	481	1976
196	483	1971
197	485	1967
198	487	1963
199	489	1958
200	491	1954
201	493	1950
202	495	1946
203	497	1942
204	499	1937
205	501	1933
206	503	1929
207	505	1925
208	507	1921
209	509	1916
210	511	1912
211	513	1908
212	515	1904
213	517	1901
214	520	1899
215	522	1895
216	524	1891
217	526	1887
218	528	1883
219	530	1879
220	532	1875
221	534	1871
222	536	1867
223	537	1863
224	539	1859
225	542	1856
226	543	1852
227	546	1849
228	548	1846
229	550	1842
230	552	1838
231	555	1838
232	557	1834
233	559	1831
234	561	1827
235	563	1824
236	565	1820
237	567	1816
238	569	1813
239	571	1809
240	573	1807
241	576	1805
242	578	1802
243	580	1798
244	582	1794
245	584	1790
246	586	1787
247	588	1783
248	590	1780
249	592	1777
250	594	1773
251	596	1770
252	598	1766
253	600	1763
254	602	1759
255	604	1756
256	609	1761
257	611	1757
258	613	1754
259	615	1750
260	617	1747
261	619	1744
262	621	1740
263	623	1737
264	625	1734
265	627	1730
266	629	1727
267	631	1723
268	635	1727
269	642	1736
270	644	1733
271	646	1730
272	648	1728
273	651	1725
274	653	1721
275	654	1718
276	656	1714
277	658	1711
278	661	1708
279	663	1705
280	665	1702
281	667	1699
282	669	1695
283	671	1692
284	673	1688
285	675	1685
286	677	1682
287	679	1679
288	681	1676
289	683	1672
290	685	1669
291	687	1666
292	689	1663
293	692	1662
294	695	1661
295	697	1658
296	699	1655
297	701	1651
298	703	1648
299	705	1645
300	707	1642
301	709	1638
302	711	1637
303	713	1633
304	715	1630
305	717	1627
306	719	1624
307	721	1620
308	723	1617
309	725	1615
310	728	1612
311	729	1609
312	732	1606
313	734	1603
314	735	1600
315	737	1597
316	740	1596
317	742	1593
318	744	1590
319	746	1586
320	749	1586
321	752	1583
322	754	1580
323	756	1578
324	758	1575
325	760	1572
326	762	1569
327	764	1566
328	766	1563
329	768	1560
330	771	1559
331	773	1556
332	775	1553
333	777	1550
334	779	1547
335	781	1544
336	783	1541
337	785	1538
338	788	1536
339	790	1533
340	792	1531
341	798	1536
342	804	1541
343	811	1546
344	813	1543
345	815	1540
346	817	1537
347	819	1536
348	822	1534
349	824	1531
350	826	1528
351	828	1525
352	830	1522
353	832	1519
354	835	1517
355	838	1516
356	840	1513
357	842	1510
358	844	1507
359	846	1504
360	848	1501
361	851	1499
362	852	1496
363	854	1493
364	856	1490
365	858	1487
366	860	1484
367	862	1481
368	865	1480
369	868	1478
370	870	1475
371	872	1472
372	874	1469
373	876	1466
374	878	1464
375	881	1462
376	883	1459
377	885	1456
378	887	1453
379	889	1450
380	891	1447
381	893	1445
382	895	1443
383	897	1440
384	899	1437
385	901	1434
386	903	1431
387	905	1428
388	907	1426
389	910	1424
390	912	1421
391	914	1418
392	916	1415
393	918	1412
394	920	1410
395	922	1407
396	924	1404
397	928	1403
398	930	1401
399	932	1398
400	934	1395
401	936	1392
402	938	1389
403	940	1387
404	943	1386
405	945	1384
406	947	1381
407	949	1378
408	951	1375
409	953	1372
410	955	1369
411	958	1367
412	960	1365
413	962	1362
414	964	1359
415	966	1356
416	968	1353
417	970	1351
418	973	1349
419	975	1346
420	977	1343
421	979	1341
422	981	1338
423	984	1337
424	986	1334
425	989	1332
426	991	1329
427	993	1327
428	995	1324
429	997	1321
430	999	1318
431	1001	1316
432	1003	1314
433	1005	1311
434	1007	1308
435	1009	1306
436	1011	1303
437	1013	1300
438	1015	1297
439	1018	1295
440	1020	1293
441	1022	1290
442	1024	1287
443	1026	1284
444	1028	1282
445	1030	1279
446	1032	1276
447	1034	1274
448	1036	1272
449	1038	1269
450	1040	1266
451	1043	1264
452	1045	1262
453	1047	1259
454	1049	1257
455	1051	1254
456	1053	1252
457	1055	1249
458	1057	1246
459	1059	1244
460	1061	1241
461	1064	1239
462	1066	1236
463	1068	1234
464	1070	1231
465	1072	1229
466	1074	1226
467	1076	1223
468	1078	1221
469	1081	1219
470	1083	1216
471	1085	1213
472	1087	1211
473	1089	1208
474	1091	1206
475	1093	1203
476	1095	1201
477	1097	1198
478	1099	1196
479	1102	1193
480	1104	1191
481	1106	1188
482	1108	1186
483	1111	1184
484	1113	1181
485	1115	1179
486	1117	1177
487	1119	1174
488	1121	1172
489	1123	1169
490	1127	1168
491	1129	1166
492	1131	1163
493	1133	1161
494	1135	1158
495	1137	1155
496	1139	1153
497	1141	1151
498	1144	1148
499	1146	1146
500	1148	1143
501	1150	1141
502	1152	1138
503	1154	1135
504	1156	1133
505	1158	1131
506	1161	1129
507	1163	1127
508	1165	1124
509	1167	1121
510	1169	1119
511	1172	1117
512	1174	1114
513	1176	1112
514	1178	1109
515	1180	1107
516	1182	1104
517	1184	1102
518	1187	1100
519	1191	1099
520	1197	1101
521	1203	1102
522	1208	1102
523	1210	1099
524	1212	1097
525	1214	1094
526	1216	1091
527	1219	1090
528	1221	1087
529	1223	1085
530	1225	1082
531	1227	1079
532	1229	1077
533	1231	1074
534	1234	1072
535	1236	1070
536	1238	1067
537	1240	1065
538	1242	1062
539	1244	1059
540	1246	1057
541	1249	1055
542	1253	1054
543	1255	1052
544	1257	1049
545	1258	1046
546	1260	1044
547	1263	1041
548	1265	1039
549	1267	1037
550	1269	1034
551	1271	1032
552	1273	1029
553	1275	1026
554	1278	1025
555	1284	1025
556	1286	1023
557	1288	1020
558	1290	1018
559	1292	1015
560	1294	1012
561	1297	1010
562	1299	1008
563	1301	1005
564	1303	1003
565	1305	1000
566	1307	998
567	1309	995
568	1311	993
569	1313	990
570	1315	988
571	1317	985
572	1319	983
573	1321	980
574	1323	978
575	1325	975
576	1328	973
577	1330	971
578	1332	968
579	1334	966
580	1336	963
581	1338	961
582	1341	959
583	1344	957
584	1346	955
585	1348	952
586	1350	950
587	1353	948
588	1355	945
589	1357	943
590	1359	940
591	1361	938
592	1363	935
593	1365	933
594	1367	930
595	1369	928
596	1371	925
597	1374	923
598	1376	921
599	1378	918
600	1380	916
601	1382	913
602	1384	911
603	1386	908
604	1389	907
605	1391	904
606	1393	902
607	1396	900
608	1403	900
609	1408	900
610	1414	900
611	1421	900
612	1427	901
613	1433	900
614	1439	900
615	1444	900
616	1448	899
617	1452	897
618	1458	897
619	1464	897
620	1470	897
621	1477	897
622	1483	897
623	1487	896
624	1489	893
625	1491	890
626	1493	888
627	1495	885
628	1497	882
629	1499	880
630	1501	878
631	1503	875
632	1505	872
633	1507	870
634	1509	867
635	1511	865
636	1514	862
637	1516	860
638	1519	858
639	1521	855
640	1522	852
641	1524	850
642	1526	847
643	1529	845
644	1531	843
645	1535	841
646	1538	839
647	1540	836
648	1542	834
649	1544	831
650	1546	829
651	1548	826
652	1550	824
653	1552	821
654	1554	819
655	1556	816
656	1558	813
657	1561	811
658	1563	808
659	1565	806
660	1567	803
661	1569	801
662	1571	798
663	1573	796
664	1576	794
665	1578	791
666	1580	789
667	1582	786
668	1584	783
669	1586	781
670	1588	778
671	1592	777
672	1598	776
673	1604	776
674	1609	774
675	1611	772
676	1613	769
677	1615	767
678	1617	764
679	1619	762
680	1621	759
681	1624	757
682	1626	754
683	1628	752
684	1630	749
685	1632	747
686	1634	744
687	1636	742
688	1639	740
689	1641	737
690	1643	734
691	1645	732
692	1647	729
693	1649	727
694	1651	724
695	1654	722
696	1656	719
697	1658	717
698	1660	714
699	1662	712
700	1664	709
701	1666	707
702	1668	704
703	1670	702
704	1672	699
705	1674	697
706	1676	694
707	1678	692
708	1680	689
709	1682	687
710	1685	685
711	1687	682
712	1689	680
713	1691	677
714	1694	675
715	1696	672
716	1698	670
717	1701	668
718	1702	665
719	1704	663
720	1706	660
721	1708	658
722	1710	655
723	1712	652
724	1715	650
725	1717	648
726	1719	645
727	1721	643
728	1723	640
729	1725	638
730	1727	635
731	1729	633
732	1731	630
733	1733	628
734	1735	625
735	1738	623
736	1740	620
737	1742	618
738	1744	616
739	1747	613
740	1749	611
741	1751	608
742	1754	606
743	1756	604
744	1758	601
745	1760	599
746	1762	597
747	1764	594
748	1767	592
749	1769	589
750	1771	587
751	1773	584
752	1775	582
753	1777	579
754	1779	577
755	1781	575
756	1783	572
757	1785	570
758	1787	567
759	1789	565
760	1792	562
761	1794	560
762	1796	558
763	1798	555
764	1800	553
765	1802	550
766	1804	548
767	1806	545
768	1808	543
769	1812	541
770	1819	540
771	1822	538
772	1825	536
773	1828	533
774	1830	531
775	1832	528
776	1834	526
777	1836	523
778	1838	521
779	1840	519
780	1842	516
781	1844	514
782	1846	511
783	1848	509
784	1850	506
785	1853	504
786	1856	502
787	1858	499
788	1862	498
789	1864	495
790	1868	493
791	1872	491
792	1878	490
793	1882	488
794	1885	486
795	1890	484
796	1893	482
797	1895	479
798	1897	477
799	1899	474
800	1901	472
801	1903	469
802	1905	467
803	1907	465
804	1909	462
805	1911	460
806	1913	457
807	1915	455
808	1917	452
809	1919	450
810	1921	447
811	1923	445
812	1925	442
813	1927	440
814	1930	438
815	1932	435
816	1934	433
817	1936	430
818	1938	428
819	1940	425
820	1942	423
821	1944	421
822	1946	418
823	1948	416
824	1950	413
825	1952	411
826	1955	408
827	1957	406
828	1959	404
829	1961	401
830	1964	399
831	1966	397
832	1968	394
833	1970	392
834	1972	389
835	1974	387
836	1975	384
837	1978	382
838	1980	379
839	1982	377
840	1984	375
841	1986	372
842	1989	370
843	1996	368
844	2000	366
845	2006	365
846	2008	362
847	2010	360
848	2012	357
849	2014	355
850	2016	353
851	2018	350
852	2020	348
853	2022	345
854	2024	343
855	2026	340
856	2028	338
857	2030	336
858	2032	333
859	2034	331
860	2036	328
861	2038	326
862	2040	323
863	2042	321
864	2044	319
865	2047	316
866	2049	314
867	2051	312
868	2053	309
869	2055	307
870	2057	304
871	2059	302
872	2062	300
873	2064	297
874	2066	295
875	2068	292
876	2070	290
877	2073	288
878	2076	285
879	2078	283
880	2080	280
881	2082	278
882	2083	276
883	2086	273
884	2088	271
885	2090	269
886	2092	266
887	2094	264
888	2096	261
889	2098	259
890	2100	257
891	2102	254
892	2104	252
893	2108	249
894	2110	247
895	2112	245
896	2114	242
897	2116	240
898	2118	238
899	2120	235
900	2122	233
901	2124	230
902	2126	228
903	2128	226
904	2130	223
905	2132	221
906	2134	218
907	2136	216
908	2138	214
909	2141	211
910	2143	209
911	2146	207
912	2148	204
913	2150	202
914	2152	199
915	2154	197
916	2156	195
917	2158	192
918	2160	190
919	2162	188
920	2164	185
921	2167	183
922	2169	180
923	2171	178
924	2173	176
925	2175	173
926	2177	171
927	2179	169
928	2181	166
929	2183	164
930	2185	161
931	2187	159
932	2189	157
933	2191	154
934	2193	152
935	2195	150
936	2197	147
937	2199	145
938	2201	143
939	2203	140
940	2205	138
941	2207	135
942	2213	133
943	2215	131
944	2217	129
945	2219	126
946	2221	124
947	2224	122
948	2226	119
